Band/ Group Name/ Performer,Song Name,Guitar Techniques #,Year,Month,Style,Type,Key,Ability Rating,Tempo,CD,Pages,GT Tutor,Comment,Will Improve Your
"Bach, JS",The Arioso,221,2013,September,Classical,Complete track,D,Moderate/Advance,80 bpm,Tracks 27-28,,Bridget Mermikides,,
"Bach, JS",Prelude in C,230,2014,May,Classical,Complete track,C,Moderate/Advance,60 bpm,Tracks 44-45,46-49,Bridget Mermikides,,
"Bach, JS",Prelude in D Minor,248,2015,October,Classical,Complete track,D minor,Moderate,72 bpm,Tracks 38-39,46-49,Bridget Mermikides,,
"Bach, JS ",Minuet In G,238,2015,January,Classical,Complete track,G,Moderate,120 bpm,Tracks 33-34,48-50,Bridget Mermikides,,
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,,1997,May,Rock,Complete track,,,,Track 14,,,,
Bad Company,Can't Get Enough,,1996,February,Rock,Complete track,,,,Track 15,,Dave Kilminster,,
Bad Company,Feel Like Makin' Love,124,2006,Spring,Rock,Complete track,,Moderate,,Tracks 14-16,30-38,Dave Kilminster,,
Bad Company,Can't Get Enough,238,2015,January,Rock,Complete track,C,Moderate,124 bpm,Tracks 10-11,30-36,Jon Bishop,,
Baroque Music,Allemande - Robert De Visee,57,2001,April,Rock,Complete track,,Easy,,,,Richard Stokkereit,,
Baroque Music,Ganarios - Gaspar Sanz,64,2001,October,Classical,Complete track,,Moderate/Advance,,Tracks 28-29,,Richard Stokkereit,,
Baroque Music,Gavotte - Robert De Visee,59,2001,June,Classical,Complete track,,Easy,,Tracks 16-17,,Richard Stokkereit,,
Baroque Music,Gigue - Robert De Visee,63,2001,September,Classical,Complete track,,Moderate,,Tracks 19-20,,Richard Stokkereit,,
Baroque Music,Paysane - Sylvius Leopold Weiss,62,2001,August,Classical,Complete track,,Moderate,,Tracks 15-16,,Richard Stokkereit,,
Baroque Music,Prelude - Sylvius Leopold Weiss,56,2001,March,Classical,Complete track,,Easy/Moderate,,Tracks 18-19,,Richard Stokkereit,,
Baroque Music,Sonata In E Minor - Domenico Scarlatti,65,2001,November,Classical,Complete track,,Moderate/Hard,,Tracks 17-18,,Richard Stokkereit,,
BB King,Every Day I Have The Blues,,1999,September,Blues,Complete track,,Easy,,Tracks 13-15,,Geoff Whitehorn,,
BB King,Rock Me Baby,97,2004,April,Blues,Complete track,,Easy,,Tracks 7-9,,Guthrie Govan,,
BB King,Sweet Little Angel,121,2006,February,Blues,Complete track,,Moderate,,Tracks 6-8,,Steve Allsworth,,
BB King,The Thrill Is Gone,51,2000,November,Blues,Complete track,,Easy/Moderate,,Tracks 2-5,,Geoff Whitehorn,,
"Beach Boys, The",Surfin USA,62,2001,August,Pop,Complete track,,Easy,,Tracks 11-14,,James Humphries,,
"Beatles, The",Blackbird,,1994,September,,,,,,,,,,
"Beatles, The",Here Comes The Sun,,1998,October,Pop,Complete track,,Moderate,,Tracks 2-4,,Eric Roche,,
"Beatles, The",Here There And Everywhere,,1999,October,Jazz,Complete track,,Moderate,,Tracks 14-15,,Martin Taylor,,
"Beatles, The",Julia,,1999,August,Acoustic,Complete track,,Easy,,Tracks 2-3,,Eric Roche,,
"Beatles, The",Something,91,2003,November,Rock,Complete track,,Easy/Moderate,,Tracks 4-6,,Guthrie Govan,,
"Beatles, The",Something,,2002,February,Pop,Complete track,,Moderate,,Tracks 9-12,,Guthrie Govan,,
"Beatles, The",Till There Was You,104,2004,November,Pop,Complete track,,Easy,,Tracks 21-23,,James Humphries,,
"Beatles, The",While My Guitar Gently Weeps,,1996,January,Rock,Complete track,,,,,,Guthrie Govan,,
"Beatles, The",While My Guitar Gently Weeps,85,2003,May,Rock,Complete track,,Moderate,,Tracks 4-16,,Guthrie Govan,,
"Beatles, The",While My Guitar Gently Weeps,183,2010,October,Rock,Complete track,A minor,Moderate,114 bpm,Tracks 8-10,,Steve Allsworth,,
"Beatles, The",With A Little Help From My Friends,,1997,February,Rock,Complete track,,,,Track 6,,Dave Kilminster,,
"Beatles, The",Yesterday,,1997,May,Acoustic,Complete track,,,,Track 10,,Lee Hodgson,,
"Beatles, The",Yesterday,194,2011,August,Pop,Complete track,F and C,Moderate,Various,Tracks 13-14,,Stuart Ryan,,
"Beatles, The",Twist And Shout,223,2013,November,Rock,Complete track,D,Easy,127 bpm,Tracks 39-42,36-42,Steve Allsworth,,
Bebop Deluxe,Adventures In A Yorkshire Landscape,112,2005,June,Rock,Complete track,,Moderate/Advance,,Tracks 11-13,,Dave Kilminster,,
"Beethoven, Ludwig Van",Für Elise,194,2011,August,Classical,Complete track,A minor,Moderate,148 bpm,Tracks 17-18,,Bridget Mermikides,,
"Beethoven, Ludwig Van",Moonlight Sonata,185,2010,December,Classical,Complete track,A minor,Moderate/Advance,70 bpm,Tracks 10-11,,Bridget Mermikides,,
"Beethoven, Ludwig Van",Moonlight Sonata (3rd Mvt) Part 1,196,2011,October,Classical Shred,Complete track,C# minor,Moderate/Advance,Various,Tracks 12-14,,Paul Bielatowicz,,
"Beethoven, Ludwig Van",Pathetique Sonata 2nd Mvt,213,2013,February,Classical,Complete track,A,Moderate/Advance,56 bpm,Tracks 15-16,46-50,Bridget Mermikides,,
"Beethoven, Ludwig Van",Ode To Joy,222,2013,October,Classical,Complete track,D major,Moderate,108 bpm,Tracks 32-33,48-52,Bridget Mermikides,,
"Beethoven, Ludwig Van",Moonlight Sonata (3rd Mvt) Part 2,197,2011,November,Classical Shred,Complete track,C# minor,Advanced,Various,Tracks 58-61,42-50,Paul Bielatowicz,,
Benny Golson,I Remember,,1996,December,Jazz,Complete track,,,,Track 5,,Frank Evans,,
Bernard Butler,You Light the Fire,85,2003,May,Acoustic Fingerstyle,Complete track,,Easy/Moderate,,Tracks 26-27,,Eric Roche,,
Big Country,Look Away,,1995,September,Rock,,,,,Track 4,,,,
Bill Haley And His Comets,Rock Around The Clock,148,2008,February,Rock & Roll,Complete track,,Moderate,,Tracks 9-10,,Steve Allsworth,,
Billy Idol,Rebel Yell,,1999,March,Rock,Riff,,Moderate,,Tracks 5-6,,Phil Hilborne,Intro/Main Riff,
Billy Joel,Just The Way You Are,,1997,April,Rock,Solo,,,,,,Shaun Baxter,,
Billy Mclaughlin,Stormseeker,50,2000,October,Acoustic,Complete track,,Moderate/Hard,,Tracks 8-9,,Eric Roche,,
Billy Swan,I Can Help,,1997,July,,Complete track,,,,Track 6,,Lee Hodgson,,
"Black Crowes, The",Hard To Handle,46,2000,June,Rock,Complete track,,Moderate,,Tracks 15-19,,James Humphries,,
"Black Crowes, The",Sting Me,,2002,February,Rock,Complete track,,Moderate,,Tracks 16-20,,James Humphries,,
Black Grape,Trampling Out The Vintage,,1998,December,Pop,Complete track,,Easy,,Tracks 35-38,,Ewan Smith,,
Black Sabbath,Iron Man,,2002,Winter,Metal,Complete track,,Easy/Moderate,,Tracks 4-5,,,,
Black Sabbath,Iron Man,53,2000,Winter,Metal,Riff,,,,,,Phil Hilborne,,
Black Sabbath,Paranoid,95,2004,February,Rock,Complete track,,Easy,,Tracks 7-9,,James Humphries,,
Black Sabbath,Paranoid,,1998,Xmas,Rock,Riff,,,,,,Phil Hilborne,,
Blue Öyster Cult,(Don't Fear) The Reaper,92,2003,December,Rock,Complete track,,Easy/Moderate,,Tracks 4-7,,Guthrie Govan,,
Blue Öyster Cult,(Don't Fear) The Reaper,,1999,March,Rock,Riff,,Easy,,Tracks 5-6,,Phil Hilborne,Chords Only,
Bluesbreakers with Eric Clapton,All Your Love,129,2006,Summer,Blues,Complete track,,Moderate,,Tracks 4-5,16-22,Dario Cortese,,
Bo Diddley,Not Fade Away,43,2000,March,Blues,Complete track,,Easy/Moderate,,Tracks 6-8,,Geoff Whitehorn,,
Bob Boykin,Hazardouz Material,,1996,January,,,,,,,,,,
Bob Boykin,Hazardouz Material,,1996,February,,,,,,,,,,
Bob Dylan,Knockin' On The Heaven's Door,,1996,August,Rock,Complete track,,,,Track 7,,Guthrie Govan,,
Bob Dylan,Like A Rolling Stone,,1995,July,Rock,,,,,Track 6,,,,
Bob Marley,I Shot The Sheriff,,1995,August,Rock,,,,,Track 7,,,,
Bon Jovi,Lay Your Hands On Me,,1998,November,Rock,Complete track,,Moderate,,Tracks 13-16,,James Humphries,,
