Tune Title,Vol #,Vehicle Type,Key,Tempo,# of choruses,CD Track #
All The Things You Are (Slow),55,Standard,Ab,138,6,2
Dearly Beloved,55,Standard,C,160,7,6
I'm Old Fashioned,55,Standard,F,120,5,5
I've Told Ev'ry Little Star,55,Standard,F,108,6,10
Long Ago (And Far Away),55,Standard,F,200,8,9
Pick Yourself Up,55,Standard,F,144,7,12
The Song Is You,55,Standard,C,144,3,3
The Way You Look Tonight,55,Standard,Eb,200,5,7
Why Do I Love You?,55,Standard,Ab,176,9,11
Yesterdays,55,Standard,D-,60,3,4
Monkish,56,Ballad,Eb,48,2,4
Monk's Mood,56,Ballad,Db,52,3,2
Round Midnight,56,Ballad,Eb-,48,3,9
"Ruby, My Dear",56,Ballad,Eb,54,2,7
Epistrophy,56,Bebop,Db,126,8,6
I Mean You,56,Bebop,F,192,9,5
In Walked Bud,56,Bebop,Ab,184,6,3
Off Minor,56,Bebop,G-,160,8,8
Big Blues,56,Blues,Bb,120,15,11
Introspection,56,Contemp.,Db,138,8,10
Well You Needn't,56,Contemp.,F,176,11,1
A Search For Who?,57,Blues,A-,112,13,10
Four On The Floor,57,Blues,F-,96,11,6
Fourths?,57,Blues,F#-,116,15,7
No Smoking,57,Blues,B-,104,12,12
Rufus Did It,57,Blues,D-,126,14,3
South Of The Border,57,Blues,C#-,186,18,2
Speakerphone,57,Blues,Ab-,132,16,9
Special Delivery,57,Blues,Eb-,144,16,4
Speed Trap,57,Blues,E-,126,10,5
Syncopated Plus,57,Blues,Bb-,126,14,11
Up And Down,57,Blues,G-,160,16,8
Who Said That?,57,Blues,C-,100,11,1
Wrap It Up - Minor Blues In All Keys,57,Blues,All,96,12,13
Imagination,58,Ballad,Eb,48,2,8
In The Wee Small Hours,58,Ballad,C,48,3,6
Polka Dots And Moonbeams,58,Ballad,F,60,3,10
When You Wish Upon A Star,58,Ballad,C,58,2,12
Gone With The Wind,58,Standard,Eb,152,6,2
I Hadn't Anyone Till You,58,Standard,F,104,5,13
I'll Take Romance,58,Standard,F,126,6,5
I'm Confessin' That I Love You,58,Standard,Ab,100,4,7
Let's Fall In Love,58,Standard,C,112,5,9
Like Someone In Love,58,Standard,C,116,5,4
Lullaby Of The Leaves,58,Standard,C-,144,6,14
Someday My Prince Will Come,58,Standard,Bb,120,7,11
Unforgettable,58,Standard,G,112,7,3
Easy Living,59,Ballad,Eb,50,2,"D1,6"
I Fall In Love Too Easily,59,Ballad,Eb,48,3,"D1,9"
Moonglow,59,Ballad,C,86,2,"D1,8"
The Nearness Of You,59,Ballad,F,54,2,"D2,9"
Ceora,59,Bossa,Ab,104,4,"D1,7"
Down And Up,59,Contemp.,Bb,184,7,"D1,11"
Caravan,59,Standard,F-,200,5,"D2,5"
Day By Day,59,Standard,G,112,5,"D2,3"
Invitation,59,Standard,C-,120,4,"D1,10"
It Don't Mean A Thing,59,Standard,G-,180,6,"D2,2"
Just Friends,59,Standard,F,120,5,"D2,4"
On Green Dolphin Street (Eb),59,Standard,Eb,138,5,"D1,3"
On Green Dolphin Street {C},59,Standard,C,120,5,"D2,6"
Out Of Nowhere,59,Standard,G,112,4,"D1,5"
Shadow Of Your Smile,59,Standard,G,118,3,"D2,10"
Star Eyes,59,Standard,Eb,120,4,"D1,4"
Stella By Starlight,59,Standard,Bb,108,5,"D2,8"
Sweet And Lovely,59,Standard,C,116,4,"D1,2"
You Stepped Out Of A Dream,59,Standard,C,172,5,"D2,7"
Lament For Booker,60,Ballad,Bb,47,2,11
Birdlike,60,Blues,F,92,21,4
Coral Keys,60,Contemp.,G-,146,6,5
Crisis,60,Contemp.,B-,185,4,8
Dear John,60,Contemp.,B,230,15,9
Red Clay,60,Contemp.,Db-,116,-,12
Sky Dive,60,Contemp.,G-,145,3,7
Up Jumped Spring,60,Contemp.,Bb,135,5,6
Gibraltar,60,Modal,G-,185,7,3
Little Sunflower,60,Modal,D,128,4,2
Pensativa,60,Standard,Gb,170,3,10
Indiana,61,Bebop,Ab,348,13,2
Third Rail,61,Contemp.,Bb,304,9,6
Cherokee (All 12 Keys),61,Standard,Bb,268,12,4
It's You Or No One,61,Standard,F,320,11,5
Lover,61,Standard,C,312,7,9
"Lover, Come Back To Me!",61,Standard,Ab,342,5,3
Secret Love,61,Standard,Eb,336,10,11
The Way You Look Tonight,61,Standard,Eb,300,7,7
Keep It Up,61,Swing,Eb,324,13,10
Patience Plus,61,Swing,Bb,276,9,8
Doujie,62,Bebop,F,200,7,10
Far Wes,62,Bebop,Db,100,3,12
Four On Six,62,Bebop,G-,104,15,3
Full House,62,Bebop,F-,176,5,11
Jingles,62,Bebop,E-,224,5,5
Cariba,62,Blues,F-,160,12,2
D Natural Blues,62,Blues,D,92,9,9
West Coast Blues,62,Blues,Bb,116,8,6
Angel,62,Contemp.,E-,126,6,8
Leila,62,Contemp.,F,72,3,7
Road Song,62,Contemp.,G-,126,6,4
Angela,63,Contemp.,F-,132,5,7
April Mist,63,Contemp.,F,116,4,4
Buffalo Wings,63,Contemp.,F-,120,4,11
Glass Mystery,63,Contemp.,-,66,3,13
Hope Street,63,Contemp.,Eb-,216,12,9
Little Dancer,63,Contemp.,Eb-,168,7,3
Moon Alley,63,Contemp.,F,126,5,2
Sail Away,63,Contemp.,C,126,3,5
Scene,63,Contemp.,G,112,6,8
Suspended View,63,Contemp.,F,112,7,12
The Water's Edge,63,Contemp.,E,132,5,6
Train Shuffle,63,Contemp.,F,128,7,10
Afro Blue,64,Afro-Cuban,F-,184,13,6
Curacao,64,Afro-Cuban,F-,207,7,10
Deliro,64,Bolero,G,80,3,8
II/V7/I (Twelve Keys),64,Bolero,All,108,1,5
Linda Chicana,64,Cha Cha,Bb-,140,5,3
Come Candela,64,Guaracha,G-,192,-,7
Mambo Inn,64,Mambo,F,224,9,4
Manteca,64,Mambo,Bb,208,6,9
Mindanao,64,Mambo,F-,208,10,12
Philly Mambo,64,Mambo,D-,232,12,11
Picadillo,64,Mambo,A-,208,-,13
Sabor,64,Mambo,A-,224,30,2
Moonlight In Vermont,65,Ballad,Eb,60,3,"D1,5"
Algo Bueno,65,Bebop,Db,142,4,"D2,9"
Along Came Betty,65,Bebop,Ab,116,4,"D1,9"
Confirmation,65,Bebop,F,116,5,"D2,5"
Four,65,Bebop,Eb,132,5,"D1,1"
Jeanine,65,Bebop,Ab,160,4,"D1,2"
Moment's Notice,65,Bebop,Eb,176,6,"D2,7"
Nica's Dream,65,Bebop,Bb,112,3,"D1,8"
Oleo,65,Bebop,Bb,200,8,"D2,6"
Stablemates,65,Bebop,Db,112,4,"D2,8"
Tune Up,65,Bebop,D,116,4,"D1,3"
Giant Steps (Bossa),65,Bebop (Bossa),B,110,11,"D2,10"
Giant Steps (Swing),65,Bebop (Swing),B,120,9,"D2,11"
Blues For Alice,65,Bird Blues,F,108,10,"D1,10"
But Not For Me,65,Standard,F,150,4,"D2,3"
Bye Bye Blackbird,65,Standard,F,138,6,"D2,1"
Fly Me To The Moon,65,Standard,C,140,6,"D1,7"
Good Bait,65,Standard,Bb,108,3,"D1,11"
Mean To Me,65,Standard,F,104,3,"D2,4"
Perdido,65,Standard,Bb,132,5,"D1,4"
September Song,65,Standard,C,114,4,"D1,6"
Speak Low,65,Standard,F,116,3,"D2,2"
"Take The ""A"" Train",65,Standard,C,112,4,"D1,12"
A Flower Is A Lovesome Thing,66,Ballad,Db,56,2,10
Blood Count,66,Ballad,D,56,1,12
Chelsea Bridge,66,Ballad,Db,56,3,3
Lush Life,66,Ballad,Db,66,2,5
My Little Brown Book,66,Ballad,Bb,69,2,11
Johnny Come Lately,66,Bebop,C,208,9,9
Rain Check,66,Bebop,F,208,8,8
Drawing Room Blues,66,Blues,C,116,13,7
Isfahan,66,Standard,Db,112,5,6
Satin Doll,66,Standard,C,112,5,4
"Take The ""A"" Train",66,Standard,C&Eb,176,10,1
UMMG,66,Standard,Db,208,8,2
Four (All Keys),67,Bebop,Eb,152,12,6
Solar Flair (All Keys),67,Bossa,C,126,12,1
Autumn Leaves (All Keys),67,Standard,G-,160,12,4
Perdido (All Keys),67,Standard,Bb,138,12,5
Rhythm (All Keys),67,Standard,Bb,184,12,7
Sweet Georgia Brown (All Keys),67,Standard,F,160,12,2
Tune Up (All Keys),67,Standard,D,144,12,3
Confirmation (All Keys),68,Bebop,F,192,12,1
Giant Steps (All Keys),68,Bebop,B,224,26,6
All The Things You Are (All Keys),68,Standard,Ab,200,12,4
It's You Or No One (All Keys),68,Standard,F,232,24,3
Stella By Starlight (All Keys),68,Standard,Bb,132,12,2
Down And Up,68,Swing,All,208,24,5
Bird Gets The Worm,69,Bebop (Latin),Ab,240,7,10
Confirmation,69,Bebop (Latin),F,208,8,13
Dewey Square,69,Bebop (Latin),Eb,184,8,4
Donna Lee,69,Bebop (Latin),Ab,192,8,12
Laird Baird,69,Bebop (Latin),Bb,160,16,7
Marmaduke,69,Bebop (Latin),F,208,8,2
Moose The Mooche,69,Bebop (Latin),Bb,224,10,8
My Little Suede Shoes,69,Bebop (Latin),Eb,148,7,9
Ornithology,69,Bebop (Latin),G,216,8,6
Scrapple From The Apple,69,Bebop (Latin),F,232,8,11
Yardbird Suite,69,Bebop (Latin),C,176,8,5
Barbados,69,Blues (Latin),F,176,19,1
Buzzy,69,Blues (Latin),Bb,216,7,3
Elvinish,70,3/4 Blues,C,116,8,4
Killer Joe,70,Bebop,C,104,5,1
Ladybird,70,Bebop,C,152,10,10
Sugar,70,Bebop,C,108,9,2
Birthplace Blues,70,Blues,Bb,176,16,12
Mr. P.C.,70,Blues,C,200,20,13
Stop-Time Blues,70,Blues,Bb,128,16,7
Misty,70,Bossa,Eb,108,3,8
Afternoon In Paris,70,Standard,C,132,5,6
Blue Moon,70,Standard,Eb,60,2,5
Sweet Georgia Brown,70,Standard,Ab,108,5,9
The Girl From Ipanema,70,Standard,F,116,4,3
You Stepped Out Of A Dream,70,Standard,C,126,5,11
Old Folks,71,Ballad,F,60,2,3
East Of The Sun,71,Standard,G,130,5,4
Falling In Love With Love,71,Standard,Bb,160,7,7
Honeysuckle Rose,71,Standard,F,152,7,1
I Wish I Knew,71,Standard,G,144,6,5
Just Squeeze Me,71,Standard,F,104,5,2
Melancholy Baby,71,Standard,Eb,126,6,9
My Heart Stood Still,71,Standard,F,240,10,11
One O'Clock Jump,71,Standard,Db,152,17,10
Second Time Around (Ballad),71,Standard,C,66,2,6
Second Time Around (Swing),71,Standard,C,126,5,12
The Boy Next Door,71,Standard,Bb,120,7,8
Everything I Have Is Yours,72,Ballad,C,66,2,8
If You Could See Me Now,72,Ballad,Eb,56,3,2
I'm Thru With Love,72,Ballad,F,88,2,11
Try A Little Tenderness,72,Ballad,C,58,2,5
I'm In The Mood For Love,72,Standard,C,116,6,12
Jitterbug Waltz,72,Standard,Eb,152,5,3
"Just You, Just Me",72,Standard,C,152,9,7
Poinciana,72,Standard,G,150,6,4
Street Of Dreams,72,Standard,Eb,104,11,1
That Old Feeling,72,Standard,Eb,138,6,6
The Lamp Is Low,72,Standard,G,240,9,10
The Touch Of Your Lips,72,Standard,C,96,5,9
The Meeting,73,3/4 Blues-ish,F,228,9,12
Patterns,73,3/4 Modern,C-,189,5,10
Elegy For A Duck,73,6/4 Blues,C-,138,11,6
Six And Four,73,6/4 Blues,F,138,11,2
"Black, Brown & Beautiful",73,Ballad,Eb,54,2,9
Latino,73,Bebop,Eb,208,9,3
Straight Ahead,73,Bebop,G,250,3,11
I Remember Bird,73,Blues,F,84,9,4
Stolen Moments,73,Blues,C-,104,10,1
Teenie's Blues,73,Blues,F,138,14,5
In Passing,73,Cycle,G,132,14,8
Alto-itis,73,Swing,Bb,252,10,7
West Coast Blues,74,Blues,Bb,152,14,8
Body And Soul,74,Bolero,Db,92,2,6
Don't Blame Me,74,Bolero,C,92,4,12
I Can't Get Started,74,Bolero,C,84,4,3
Soul Eyes,74,Bolero,Eb,92,2,9
Desafinado,74,Bossa,F,184,5,1
Forest Flower (Sunrise),74,Cha Cha,A,112,4,2
What's New?,74,Cha Cha,C,120,6,7
Have You Met Miss Jones?,74,Mambo,F,184,10,4
Opus De Funk,74,Mambo,F,208,27,5
St. Thomas,74,Mambo,C,224,18,10
What Is This Thing Called Love,74,Mambo,C,240,11,11
26-2,75,Bebop,F,225,10,"D2,10"
Central Park West,75,Bebop,B,66,10,"D2,3"
Countdown,75,Bebop,D,304,26,"D2,13"
Giant Steps,75,Bebop,Eb,308,19,"D2,12"
Satellite,75,Bebop,G,260,11,"D2,11"
Uncommon Tones,75,Bebop,Eb ,132,12,"D2,2"
Step By Step,75,Bossa,Eb,116,10,"D2,1"
In A Melatonin,75,Cont. 3/4,Eb,104,3,"D2,6"
Exotica,75,Contemp.,C,124,2,"D2,5"
Fifth House,75,Latin/Swing,C,224,9,"D2,7"
The Night Has A Thousand Eyes,75,Latin/Swing,G,216,6,"D2,9"
Body And Soul,75,Standard,Db,110,2,"D2,4"
But Not For Me,75,Standard,Eb,208,9,"D2,8"
10/17/21,76,Bebop,Db,126,3,11
April In August,76,Bebop,C,156,6,6
Changes,76,Bebop,C,144,6,9
Eclipse,76,Bebop,C,148,7,7
Everybody's Song,76,Bebop,C,146,6,3
Illegal Entrance,76,Bebop,Db,148,4,13
Kirsten And Her Puppy Katie,76,Bebop,F,120,6,12
To The Fore,76,Bebop,C,162,7,10
Velvet Rose,76,Bebop,C,138,7,5
Aulil,76,Contemp.,E-,152,6,8
At Twilight,76,Latin,C,156,6,4
Preparatory Exercise #2,76,Latin/Swing,-,140,2,2
Preparatory Exercise #1,76,Swing/Latin,-,140,2,1
Bluellespie,77,Blues,Bb,114,13,5
Chucho,77,Blues,D-,180,19,8
Christmas Without You,77,Bolero,Eb,76,3,4
Chick,77,Funk,Bb,248,9,12
Guataca City,77,Latin,G-,120,15,1
La Dama Y El Vagabundo,77,Latin,Eb,142,10,11
Lorenzo's Wings,77,Latin,C-,116,8,3
Memories,77,Latin,F,120,1,7
Wapango,77,Latin,C-,134,11,13
Gdansk,77,Latin/Funk,D-,100,11,6
A Night In Englewood,77,Slow Bossa,A,108,5,2
El Cura,77,Swing/Latin,C,208,7,10
South Of The Waltz,77,Waltz,E-,188,5,9
Auld Lang Syne,78,Ballad,F,69,8,6
Have Yourself A Merry Little Christmas,78,Ballad,C,100,4,5
I'll Be Home For Christmas,78,Ballad,C,56,5,10
Silent Night,78,Ballad,C,100,7,9
I Saw Mommy Kissing Santa Claus,78,Bossa,C,108,4,1
Let It Snow,78,Swing,F,120,5,4
Rudolph The Red-Nosed Reindeer,78,Swing,C,144,6,7
Santa Claus Is Coming To Town,78,Swing,C,120,6,3
Sleigh Ride,78,Swing,G,252,5,8
Winter Wonderland,78,Swing,Eb,116,5,2
We Three Kings,78,Waltz,E-,126,4,11
After You've Gone,79,Standard,F,216,8,11
Avalon,79,Standard,F,138,5,1
Bill Bailey,79,Standard,Bb,138,7,10
"Bye, Bye, Blues",79,Standard,C,232,10,6
I'm Always Chasing Rainbows,79,Standard,G,126,6,3
Ja-Da,79,Standard,F,138,11,7
Margie,79,Standard,F,240,9,12
Rose Room,79,Standard,Ab,120,5,2
St. Louis Blues,79,Standard,G7,100,12,5
Three O'Clock In The Morning,79,Standard,C,116,6,4
Toot Toot Tootsie,79,Standard,C,224,9,9
You Made Me Love You,79,Standard,Eb,88,4,8
Baby Won't You Please Come Home,80,Ballad,G,58,5,4
I Hear A Rhapsody,80,Standard,Eb,188,9,7
Indiana,80,Standard,Ab,182,9,1
Look For The Silver Lining,80,Standard,Eb,154,7,8
My Melancholy Baby,80,Standard,Eb,116,5,6
Peg O' My Heart,80,Standard,Bb,126,10,3
Poor Butterfly,80,Standard,Ab,118,6,11
Some Of These Days,80,Standard,F,138,6,2
Somebody Stole My Gal,80,Standard,Eb,176,5,9
They Didn't Believe Me,80,Standard,F,136,6,5
When The Saints Go Marching In,80,Standard,F,154,12,12
Billy Boy,80,Swing,C,252,7,10
Master Of The Obvious,81,Ballad,A-,-,5,9
Down Time,81,Blues,D,130,6,2
For Lydia,81,Bossa,F,132,6,6
Easy Nuff,81,Contemp.,G-,288,6,13
Falling Stones,81,Contemp.,A-,60,4,4
Off A Bird,81,Contemp.,-,200,-,7
What It Is,81,Funk,Eb,122,-,12
Dancing On Bird's Grave,81,Latin,F,220,4,15
India,81,Modal,G,248,-,5
The Sun King,81,Modal,D,116,-,14
All Blues,81,Rehar. Stand.,G,120,10,3
Dancing In The Dark,81,Rehar. Stand.,Eb,116,3,10
Maiden Voyage,81,Rehar. Stand.,E-,120,4,11
Nica's Dream,81,Rehar. Stand.,Bb-,132,4,1
On Green Dolphin Street,81,Rehar. Stand.,Eb,240,9,8
Boston Bernie,82,Bebop,Ab,176,6,11
Dexology,82,Bebop,Bb,152,7,9
For Regulars Only,82,Bebop,Db,168,6,7
Fried Bananas,82,Bebop,Eb,176,7,1
I Want More,82,Bebop,Ab,232,7,12
Montmartre,82,Bebop,Bb-,208,6,3
Soul Sister,82,Bebop,G,138,16,8
Sticky Wicket,82,Bebop,Bb,138,13,2
The Rainbow People,82,Bebop,Eb,112,5,5
Tivoli,82,Bebop,Db,108,3,10
Antabus,82,Blues,C-,280,27,14
Long Tall Dexter (aka LTD),82,Blues,Bb,204,20,13
Catalonian Nights,82,Latin,Bb-,168,6,6
Apple Jump,82,Rhythm,F,164,6,4
African Skies,83,6/8 Fusion,F,92,-,2
And Then She Wept,83,Ballad,Eb,50,3,7
Straphangin',83,Funk,D,92,-,10
"Funky Sea, Funky Dew",83,Funk Ballad,F-,84,-,4
Some Skunk Funk,83,Funk/Fusion,G-/F-,147,-,5
Slang,83,Fusion,C-,112,-,8
Sponge,83,Fusion,F,186,-,1
Song For Barry,83,Latin Funk,Bb-,130,-,6
Above and Below,83,Latin Fusion,Ab,138,-,9
Inside Out,83,Shuffle Blues,F,132,-,3
Round About,84,Bossa,Eb,110,3,"D2,15"
Indiana,84,Standard,Ab,132,5,"D2,14"
Sweet Georgia Brown,84,Standard,Ab,172,6,"D2,13"
Dream,85,Contemp.,C-,100,8,7
Cantaloupe Island,85,Rehar. Stand.,F-,110,9,2
I Hear A Rhapsody,85,Rehar. Stand.,Eb,240,10,11
Maiden Voyage,85,Rehar. Stand.,E-,116,6,4
On Green Dolphin Street,85,Rehar. Stand.,Eb,168,8,3
Smoke Gets In Your Eyes,85,Rehar. Stand.,Eb,54,2,6
"Softly, As In A Morning Sunrise",85,Rehar. Stand.,C-,252,12,9
Song For My Father,85,Rehar. Stand.,F-,126,7,1
Stella By Starlight,85,Rehar. Stand.,Bb,240,8,8
Watermelon Man,85,Rehar. Stand.,F,120,11,5
Yesterdays,85,Rehar. Stand.,D-,224,12,10
Juicy Lucy,86,Bebop,F,120,7,1
Moon Rays,86,Bebop,Eb,126,4,4
Penny,86,Bebop,Bb,264,11,9
Shoutin' Out,86,Bebop,F,208,9,3
The Hardbop Grandpop,86,Bebop,Ab,204,8,7
Mary Lou,86,Bebop (Latin),C-,208,11,2
Doodlin',86,Blues,Db,112,13,12
Serenade To A Soul Sister,86,Blues,Eb,140,11,8
Tokyo Blues,86,Blues,C-,184,18,5
Senor Blues,86,Blues (Latin),Eb-,120,9,10
Jungle Juice,86,Contemp.,E-,200,4,11
Pretty Eyes,86,Contemp.,Eb-,168,10,6
People Time,87,Ballad,G,66,2,3
Doozy,87,Bebop,F,200,4,7
Easy Money,87,Bebop,F,176,7,5
The Romp,87,Blues,C,116,16,13
Summer Serenade,87,Bossa,F,116,4,4
The Courtship,87,Bossa,Eb,96,3,10
Hello,87,Contemp.,Ab,152,5,6
Southside Samba,87,Samba,F,132,5,11
All That Jazz,87,Standard,F,152,5,12
"Another Time, Another Place",87,Standard,F,176,7,2
Evening Star,87,Standard,F,88,3,9
When Lights Are Low,87,Standard,Eb,140,6,1
"You, Only You",87,Standard,Bb,132,2,8
Dance Of The Infidels,88,Bebop Blues,F,152,15,10
Solar,88,Blues,C-,160,17,3
"Stop, Stop, Stop-Time Blues",88,Blues,F,120,15,12
3/4 Double-Up Blues,88,Blues in 3/4,Eb,144,12,5
Three Plus Two,88,Blues In 5/4,C-,144,12,13
E.T.'s Blues,88,Blues w/Bridge,Bb,336,7,14
Faster Than Whiz,88,Blues w/Bridge,Eb,208,5,11
Bertha's Bossa,88,Bossa Blues,F-,120,13,7
Lame Duck,88,Bossa Blues,Bb,120,4,2
The Real McCoy,88,Bossa Blues,D-,132,12,4
In A Minor Mood,88,Minor Blues,C-,120,9,6
Sweet Combustion,88,Minor Blues,C-,126,14,8
Hustle And Shuffle,88,Shuffle Blues,G,112,12,9
Achin' And Breakin',88,Slow Blues,F,56,7,1
Can't We Be Friends,89,Standard,F,108,6,2
Darn That Dream,89,Standard,G,58,2,7
For Heaven's Sake,89,Standard,F,52,2,3
I Can't Give You Anything But Love (Fast),89,Standard,Eb,216,7,13
I Can't Give You Anything But Love (Slow),89,Standard,Eb,126,6,4
Idaho,89,Standard,F,252,9,12
My Ship,89,Standard,F,56,2,11
No More Blues,89,Standard,D-,250,4,8
The Gentle Rain,89,Standard,C-,86,3,5
The Things We Did Last Summer,89,Standard,G,63,2,9
This Can't Be Love,89,Standard,G,200,10,1
Who Can I Turn To,89,Standard,Eb,108,5,6
Who Cares?,89,Standard,C,160,7,10
Take Five,90,5/4 Standard,Eb-,126,2+vamp,6
Backdoor Shuffle (Shuffle Blues),90,Blues,F,116,11,8
First Step,90,Contemp.,C-,100,4,1
Major Scales in 5/4,90,Contemp.,-,104,2,5
Seven For Twelve,90,Contemp. 7/4,F,168,12,9
Guido Rides Again,90,Contemp.4/4-3/4,C-,162,11,4
The Girl From Ipanema,90,"Latin, in 7/4",F,112,4,7
Blue Minor (Latin Minor Blues),90,Minor Blues,Bb-,116,9,2
On Green Dolphin Street,90,"Standard,4/4-3/4",Eb,138,8,3
My Favorite Things,90,"Standard,6/4-5/4",E-,126,4,10
You Know I Care,91,Ballad,Db,36,2,6
Our Delight,91,Bebop,Ab,160,7,11
Repetition,91,Bossa Nova,Eb,138,6,2
Bernie's Tune,91,Contemp.,D-,216,8,10
Blue Daniel,91,Contemp.,D,126,13,3
A Child Is Born,91,Standard,Bb,92,6,7
Azule Serape,91,Standard,F,216,7,1
Beatrice,91,Standard,F,132,9,4
Dear Old Stockholm,91,Standard,G-,144,5,5
Limehouse Blues (Fast),91,Standard,Ab,264,9,12
Limehouse Blues (Slow),91,Standard,Ab,232,11,9
On A Slow Boat To China,91,Standard,Bb,176,6,8
Remember When,92,Ballad,Ab,69,3,5
Back On Track,92,Contemp.,Bb,184,4,8
Betwixt And Between,92,Contemp.,C-,168,6,9
Gone But Not Forgotten,92,Contemp.,F,108,4,2
Making The Rounds,92,Contemp.,F,152,6,3
Metamorphosis,92,Contemp.,G,130,6,12
Moving Right Along,92,Contemp.,Bb,184,5,11
Pat's Retort,92,Contemp.,Eb,160,7,13
Patterns,92,Contemp.,F,200,7,14
Point Of No Return,92,Contemp.,F,152,5,7
Rush Hour,92,Contemp.,Bb,180,8,4
Try For Five,92,Contemp.,Bb-,152,5,10
Waltz For Spring,92,Contemp.,Bb,160,4,6
Turn-Around,92,Minor Blues,A-,160,18,1
Body And Soul,93,Ballad,Db,56,2,8
Autumn In New York,93,Ballad/Bossa,F,54,2,6
Ornithology,93,Bebop,G,184,8,12
Perhaps,93,Bebop,C,166,20,4
Moon And Sand,93,Bossa,D-,108,3,11
What's New?,93,Bossa,C,112,5,5
Guitar On Top,93,Contemp.,C-,184,8,10
Mr. Green,93,Contemp.,D-,164,9,3
There Will Never Be Another You,93,Samba,Eb,192,7,7
On Green Dolphin Street,93,Standard,Eb,164,7,1
Stella By Starlight,93,Standard,Bb,120,6,2
The End Of A Love Affair,93,Standard,F,168,6,9
Good-Bye,94,Ballad,C,56,2,10
Hot House,94,Bebop,C,216,10,7
Chi Chi,94,Blues,Ab,176,20,4
Estate,94,Bossa Nova,A-,112,3,5
The Old Country,94,Contemp.,D-,92,8,3
All Or Nothing At All,94,Standard,A-,168,4,11
As Time Goes By,94,Standard,Eb,104,4,6
Blue And Sentimental,94,Standard,Eb,84,7,9
Close Your Eyes,94,Standard,Eb-,252,10,8
Crazy Rhythm,94,Standard,F,118,10,1
On A Clear Day,94,Standard,G,132,5,2
Windows,95,3/4,B-,140,6,3
Little B's Poem,95,3/4 Waltz,F-,144,15,7
It's The Talk Of The Town,95,Ballad,F,63,2,5
Spotty,95,Blues,C,208,24,9
500 Miles High,95,Bossa,C-,126,12,6
A Bientot,95,Bossa,C-,144,3,8
Only Trust Your Heart,95,Bossa,F,144,5,11
Triste,95,Bossa,Bb,176,7,12
"Free, Is Free",95,Latin/Swing,C,212,5,2
All Of Me,95,Swing,C,160,7,1
Parisian Thoroughfare,95,Swing,F,200,8,4
Teaneck,95,Swing,Bb,232,8,10
Arthur's Dance,96,Latin/Fusion,G-,128,-,8
Ivory Coast,96,Latin/Fusion,Gb,132,-,6
Jamboree,96,Latin/Fusion,F-,132,-,1
Latin Quarter,96,Latin/Fusion,C,184,-,3
One For Tom,96,Latin/Fusion,A-,120,-,9
One Step Ahead,96,Latin/Fusion,F#,106,-,2
Paco And Dave,96,Latin/Fusion,D7,126,-,7
Rain Forest,96,Latin/Fusion,G-,176,-,4
Sadie's Dance,96,Latin/Fusion,G-,96,-,5
Turnabout,96,Latin/Fusion,Eb/F,216,-,10
Autumn In New York,97,Ballad,F-,69,3,7
I Cover The Waterfront,97,Ballad,F,69,2,1
When Your Lover Has Gone,97,Bossa,Ab,138,6,8
You Go To My Head,97,Bossa,Eb,88,2,3
Fools Rush In,97,Swing,C,120,5,2
"Lover, Come Back To Me",97,Swing,Ab,184,4,10
Namely You,97,Swing,Bb,138,5,9
You And The Night And The Music,97,Swing,C-,126,5,6
You're My Everything,97,Swing,C,138,5,5
September In The Rain,97,Waltz,Eb,160,4,4
Desafinado (Slightly Out Of Tune),98,Bossa,F,136,3,11
How Insensitive (Insensatez),98,Bossa,D-,126,6,7
Jazz 'N 'Samba (So Danco Samba),98,Bossa,C,168,7,3
Meditation (Meditacao),98,Bossa,C,110,2,9
No More Blues,98,Bossa,D-,184,3,12
O Grande Amor,98,Bossa,A-,116,5,4
Once I Loved (O Amor En Paz),98,Bossa,D-,164,5,10
One Note Samba (Samba De Uma Nota So),98,Bossa,Bb,160,5,6
Quiet Nights Of Quiet Stars (Corcovado),98,Bossa,C,132,5,1
The Girl From Ipanema (Garota De Impanema),98,Bossa,F,144,4,8
Triste,98,Bossa,Bb-,152,6,5
Wave (Vou Te Contar),98,Bossa,D,131,4,2
If You Could See Me Now,99,Ballad,Ab,56,3,4
Soultrane,99,Ballad,Eb,80,3,7
You're A Joy,99,Ballad,Ab,56,3,9
Mating Call,99,Rumba/Swing,F,160,6,11
Good Bait,99,Swing,Bb,108,6,10
Hot House,99,Swing,C,216,8,8
Ladybird,99,Swing,C,152,13,3
On A Misty Night,99,Swing,Eb,126,5,2
Our Delight,99,Swing,Ab,160,7,5
Super Jet,99,Swing,Bb,250,11,6
Tadd's Delight,99,Swing,Ab,176,7,1
The Scene Is Clean,99,Swing,Ab,138,6,12
After You've Gone,100,Dixieland,Bb,200,6,14
Alexander's Ragtime Band,100,Dixieland,F,224,7,4
Bill Bailey,100,Dixieland,F,196,7,16
Chicago,100,Dixieland,Eb,180,6,11
Darktown Strutter's Ball,100,Dixieland,C,220,10,3
Indiana,100,Dixieland,F,214,6,15
Lime House Blues,100,Dixieland,Ab,264,9,12
Margie,100,Dixieland,F,208,8,10
Royal Garden Blues,100,Dixieland,F,184,15,2
St. James Infirmary,100,Dixieland,D-,86,8,9
St. Louis Blues,100,Dixieland,G,130,6,8
That's A Plenty,100,Dixieland,D-,240,5,7
